sentence_id (do not edit),target_word (Latinate verb under discussion),text (learner sentence containing the target_word),L1 (learner first language),CEFR (A1/A2/B1/B2/C1 from corpus),topic (essay topic, if available),grade (overall task grade / score, if available),nationality (learner nationality, if available),register_label (LLM context label: informal / neutral essay / academic / news / ambiguous),register_markedness_llm (LLM: 0 = not over‑formal, 1 = over‑formal),substitution_natural_llm (LLM: 0 = alternative not clearly better, 1 = natural replacement),simpler_alternative_llm (LLM: Germanic / simpler verb it suggests),confidence_llm (LLM: 1–3 confidence about its own judgement),human_register_markedness (YOU: 0 = not over‑formal, 1 = clearly over‑formal),human_substitution_naturalness (YOU: 0 = alternative not clearly better, 1 = natural replacement),human_simpler_alternative (YOU: Germanic / simpler verb you would actually use),human_confidence (YOU: 0–3, how sure you are),human_short_comment (very short explanation in English, optional),human_annotator_id (your initials or code)
10,obtain,My school friends is very friendly to me. She's from Marseille in France. She's hardworking and we hard work  with her for obtain our certificate.,French,A1,Describing your family in an email,70.0,fr,neutral essay,1,1,get,3,,,,,,
33,place,"They're a lot a of good places in my town. The Pizza Del Arte, which is on the national road, next the Mac Donald, is my favorite restaurant. I don't like the chineese restaurant near the pizza place. I prefer this one which is behind the post office, in front the supermarket.",French,A1,Making notes for a visitor,95.0,fr,neutral essay,1,1,locations,3,,,,,,
64,place,"My neighborhood is big, there's an playground behind my home. There's an movie theatre between the shop and restaurant. My favorite place is the pizza place. It's on the corner of charles de gaulle ans roserais.",French,A1,Making notes for a visitor,90.0,fr,neutral essay,1,1,spot,3,,,,,,
74,place,I live in my neighborhood near the beach. The people is friend and colored. There are many Italians and english. There's a lot of good italians restaurants. I go there with my family every sunday. We eat the delicious pizza. This restaurants are on the place next to the bank. Every week end I go to the beach with my friends. I like to swimming and playing volley ball.,French,A1,Making notes for a visitor,90.0,fr,neutral essay,1,1,location,3,,,,,,
81,place,"My neighborhood is very nice. There ''s an french restaurant across the street. There ''s a big depatement store ,his name gallery lafayette. There are a lot of good shops and restaurants. There ''s a coffee shop and and a good pizza place. My favorite place are the louvre museum and opera garnier. I like go a cinema every weekend.",French,A1,Making notes for a visitor,80.0,fr,neutral essay,1,1,location,3,,,,,,
94,place,"My neighborhood is great. There's  bakery across the street. There's a subway and tramway to go to work. There's a indian restaurant in front of bakery, and a excelent wine shop. My favorite place is the park. across the street. I often go there with my family.",French,A1,Making notes for a visitor,90.0,fr,neutral essay,1,1,location,3,,,,,,
126,place,"Chalon Sur Sa'ne is a small town, but there are several museums, like that of photography. A cathedral is held majestically at the downtown, and of course of the parks are placed at various places. It's very beautiful city.",French,A1,Writing an online profile,95.0,fr,academic,1,1,location,3,,,,,,
413,place,"I leave in great neighborhood. It is a very lively and popular area. The people are friendly and there are many shops and restaurants. There's a delicious oriental bakary across the street. there's a nice coffee shop on the corner. Sometimes a eat at the indian restaurant next to the LCL bank. The food is good and the place is nice, but it's a little expensive.",French,A1,Making notes for a visitor,80.0,fr,informal,1,1,live,3,,,,,,
472,place,The peolple in my neighborhood are very friendly. Ther's an Japanese restaurant accross the street. Ther's a bookstores near a department store.  My favourie place is the park accross the steet. I go there when sunshine is here !! I love it !!,French,A1,Making notes for a visitor,90.0,fr,neutral essay,1,1,location,3,,,,,,
476,place,"My city isn't a big city but isn't small neither. There are a lot of shop, restaurant. There is, also, a nice park. It's crowded place. How's like my city ? It's beautiful, it's my place.",French,A1,Writing an online profile,90.0,fr,neutral essay,1,1,location,3,,,,,,
495,place,"My neighborhood is very big with a lot of trees. In front of, there are shops, one restaurant and a coffee bar. Between the coffee bar and next the bank, there is a bahery but not bookshop. My favorite place is the park next a lake and montains. Here, there are many pizza shops.",French,A1,Making notes for a visitor,95.0,fr,neutral essay,1,1,location,3,,,,,,
