sentence_id (do not edit),target_word (Latinate verb under discussion),text (learner sentence containing the target_word),L1 (learner first language),CEFR (A1/A2/B1/B2/C1 from corpus),topic (essay topic, if available),grade (overall task grade / score, if available),nationality (learner nationality, if available),register_label (LLM context label: informal / neutral essay / academic / news / ambiguous),register_markedness_llm (LLM: 0 = not over‑formal, 1 = over‑formal),substitution_natural_llm (LLM: 0 = alternative not clearly better, 1 = natural replacement),simpler_alternative_llm (LLM: Germanic / simpler verb it suggests),confidence_llm (LLM: 1–3 confidence about its own judgement),human_register_markedness (YOU: 0 = not over‑formal, 1 = clearly over‑formal),human_substitution_naturalness (YOU: 0 = alternative not clearly better, 1 = natural replacement),human_simpler_alternative (YOU: Germanic / simpler verb you would actually use),human_confidence (YOU: 0–3, how sure you are),human_short_comment (very short explanation in English, optional),human_annotator_id (your initials or code)
1,since,I work with Lucienne since thirty years. We are friends. She is fifty three years old; She has two children; They are not in house. She is  short and she has brown hair and eyes. She always look happy.,French,A1,Describing your family in an email,95.0,fr,neutral essay,1,1,for,3,,,,,,
10,obtain,My school friends is very friendly to me. She's from Marseille in France. She's hardworking and we hard work  with her for obtain our certificate.,French,A1,Describing your family in an email,70.0,fr,neutral essay,1,1,get,3,,,,,,
47,large,"My favorite  it's neighborhood, it's close to shopping and not far from train station. It doesn't a swimming pool but every romm has free Wireless internet. The rooms are large and clean. The rates are reasonable.",French,A1,Renovating your home,80.0,fr,neutral essay,1,1,big,3,,,,,,
69,discuss,"to: all staff I suggest that we have to organize the lunch time of the team. We can discuss the pros and cons. I think the biggest advantage is obvious to avoid going out to take lunch and to cut personal expenses and a way to save money.The staff will have the choice to use this service or not . I purpose to put a new practical kitchen in. I suggest that we meet and I""ll give you all more details about this possibility.",French,A2,Writing on the family blog,90.0,fr,academic,1,1,discuss,3,,,,,,
76,perform,"Lynda Lemay will be in Tour on Friday, March 21st. She will perform in the Center of the congresses Vinci at 8:30 pm. She will present her new album, a journey in every corner of the life, in poetry, in music, in song. The price of the place is between 42 and 45 euros.",French,A2,Writing about what you do,95.0,fr,news,1,1,perform,3,,,,,,
84,increase,"Dear all, I summarize the sales meeting of june 29th. Prensent : Adam, Chris Taylor. At the beginning of the meeting, Adam asked the number of new customer and Taylor told they're around 50. Chris asked what we are doing to increase sales and Taylor said that we should encourage salespeople with big sales by increasing their salaries. At the end of meeting, we have defined the action item. Taylor told that we all have to think about anything that will increase sales. bes regards",French,A2,Writing a movie plot,90.0,fr,news,1,1,rise,3,,,,,,
89,inform,"Dear all, I'm writing to inform you about the reopening of the canteen. I know that most of you are concerned by the quality of the dishes served. But no fear, we hire a chef who has already work for most of the luxurious restaurants of the place and we think that past eroors will not occur. Is our concern to have the staff satisfied ad we know that it passed by good food. We hope all enjoy the new dishes.",French,A2,Writing on the family blog,90.0,fr,ambiguous,1,1,inform,3,,,,,,
102,decrease,"As you know, we have to cut expenses. I reviewed the commercial situation and one of way to decrease costs is to find a cheaper subcontractor to work with. Indeed, KRP our current subcontractor is too expensive and its manager doesn't want to reduce prices. This deal presents advantages and disadvantages. The biggest advantage is that there will be no layoff. But, employees will have to get used to new persons and work more. I guess that staff could be concerned about this total change. Next Friday, I'll set out more about this project.",French,A2,Writing on the family blog,95.0,fr,neutral essay,1,1,reduce,3,,,,,,
124,decrease,"I'm pretty optimistic about the future. Indeed,  companies up and up made sensitive regarding the global warming but I'm little pessimistic concerning some companies which continue to pollute despite the laws. I read a report say some companies offer transportation public to its employees in order to decrease pollution risks. I'm so optimistic regarding this idea because some people will be sensitive to the environment protection.",French,B1,Giving instructions to play a game,95.0,fr,neutral essay,1,1,decrease,3,,,,,,
132,complete,"In France we have a lot of reality TV shows.I do not like these programs at all. In my opinion this is not real,everything is staged. It''s caricatural and full of clichs. That''s suggests that we can be famous without talent or work. It''s ephemeral and it''s difficult for candidates to return to real life when the program ends. For me it''s not entertaining but sad. We should give meaning to these programs by candidates complete a project by the end of the show.",French,B1,Writing about a memorable experience,95.0,fr,neutral essay,1,1,complete,3,,,,,,
133,since,I'm pessimistic about the future. I think that the future depends on the shareholders. Doctors will do diagnostics by teleconferencing or find illness thanks to smart robots or scanners more efficient but they will not find a solution against cancer cells. I think that scientist have still found solutions but benefits are too poor. Many illness has been real since several years as the VIH and no medicine has been found. I find it hard to be optimistic about the health.,French,B1,Giving instructions to play a game,90.0,fr,neutral essay,1,1,since,3,,,,,,
142,purchase,"Hi, You can see below a short review about our negociations during the last week. As we decide together, you make decision to acquire NubianFX software on all your Entreprise. In detail, the preliminary offer is 100.000$ for 10.000 servers. Like you say, such as it isn't possible for you because of budget, we decide to offer you a bulk discount. The price becomes 50.000$.  It's important to know that it's a fair price and there's just no way to decrease more then. We notice that this total purchase include covers parts and labor. Best regards",French,B1,Studying online,80.0,fr,neutral essay,1,1,buy,3,,,,,,
148,prohibit,"In France, laws are very strict. In the same way in Australia, it is prohibited to use your cellphone while driving, even if you abundant! Sometimes, the Mayor creates a law to govern and prohibit the behaviour of just one person! This is a bit crazy but this is the way of working of the french state.",French,B1,Signing a waiver to go skydiving,90.0,fr,news,1,1,ban,3,,,,,,
148,state,"In France, laws are very strict. In the same way in Australia, it is prohibited to use your cellphone while driving, even if you abundant! Sometimes, the Mayor creates a law to govern and prohibit the behaviour of just one person! This is a bit crazy but this is the way of working of the french state.",French,B1,Signing a waiver to go skydiving,90.0,fr,news,1,1,govern,3,,,,,,
154,decrease,"For the future, I'm optimistic but also pessimistic. Optimistic because with internet and the new technology, we will can better communicate and worh together. It's very realistic and amazing. But I'm very pessimistic about the pollution. I believes our government buid more and more factories and I'm afrid that it's no good for the health. In the future, will have to decrease car's number because there are too much it nowadays. I hope we only will use eletric cars. But I doubt.",French,B1,Giving instructions to play a game,70.0,fr,neutral essay,1,1,decreasing,3,,,,,,
157,increase,I doubt about the futur. Few countries are developping their industries. What are the consequences? More people don't work. I am not against technology developpement but i think we shouldn't use it to replace human by robots unless it helps scientists and doctor to improve health.  Many government give priority to importation than exportation. It increases economic problems. And i am not sure this situation will change in the future.,French,B1,Giving instructions to play a game,80.0,fr,neutral essay,1,1,increasing,3,,,,,,
158,increase,"We are currently seven billions human being on earth and ONU predicts that at the end on the XXIth century it will reach more than ten billions. It's quite awful : does our old nice planet be able to absorb such a big increase of the population? If governments don't take severe mesures to control pollution, use of energy and production of foods, we will face a tricky situation which will may lead to the end of mankind!",French,B1,Giving instructions to play a game,70.0,fr,neutral essay,1,1,increase,3,,,,,,
161,however,"In France, there are various educational programs and documentaries on channels such as Arte. There are historical or animal life. On the other hand, I think that there are too many American movies or American TV shows  and seldom not enough of another country or movies French. In my opinion, there isn't too much sex or violence on TV, but there are however too many reality shows. What's good is that despite everything in France there are strings of information varied as BFM TV, or so, when the cable TV can have European and foreign channels such as EURO NEWS.",French,B1,Writing about a memorable experience,95.0,fr,neutral essay,1,1,but,3,,,,,,
162,since,"Dear Sandrine I have just heard a song called ""Home Improvement"" by John Woodward. I like the singer's voice but I think there s'not much of a beat and the melody never changes so it is a bit annoying. Moreover I dont't really like guitar. it is not a song you can dance on; it is a song you can listen in your bed when you want to relax. It is a shame because the words are very interesting. The mood is sad but it is normal. I do not advise you this song since I know you like romantic songs, beat changes and singers who can hit high sounds (like Scorpions) Yours faithfully Laurence",French,B1,Writing a natural remedies pamphlet,95.0,fr,informal,1,1,since,3,,,,,,
163,however,"It's well-known that people dislikes rules. However, they are necessary to make the consequences of our acts bearable fot the others. One advice says that you should not do to the others what you would dislike they do to you. Law is useful therein. By drawing the line, it allows people to be respectful towards the others and to avoid physical and psychologic injuries. Do you imagine a world without any driving regulations ? I would be afraid at every corner and you too. And we would finally be okay to create laws. Laws are necessary to live together even if they seem to be strict and sometimes too restrictive at an individual level.",French,B1,Signing a waiver to go skydiving,90.0,fr,academic,1,1,however,3,,,,,,
170,receive,"Dear brother When I saw you one week ago, I forgot to say you I had met Jean Paul, your old friend. If I remenbered exactly, you haven't him for more than twenty years, did you ! We have talked a lot about you and he asked me for some news and your email. I'll not surprised if you'll receive some news from him. He was very excited to see you again. He got married now, has two kids, a boy and a girl, and travels often in foreign countries for business. Tell me all your news and it would be a good surprise to go to a dinner together. Take care Robert",French,B1,Issuing a written warning,95.0,fr,informal,1,1,will,3,,,,,,
178,permit,"I'm not optimistic for the future. Scientist community only talk about positive things like green energies, gain of time thanks robots help, medical progress...They're created new needs totaly superficials. The scene upside down is creepy ! For me, new technology rhymes with humankind slavery. The NTIC like cell phone, GPS andamp; social network, permit to spy population. We just have to look what they're doing in North America with the Very Chip program...  Now you can give life without cuple. What's next ? Trying to replace human by humanoid ?  Science fiction is catching up reality. The famous writter Orwell was right.",French,B1,Giving instructions to play a game,95.0,fr,ambiguous,1,1,can,3,,,,,,
180,request,I'm very pessimistic about the future. I believe that search always performance it's bad. Using technology like electic cars or sun request sometimes more expensive manufacturing energy and material. the new tehcnologies are not in line with the so-called green consumption. It is the general consumption must evolve. I think that life it will be not good in the future.,French,B1,Giving instructions to play a game,80.0,fr,informal,1,1,ask,3,,,,,,
185,consider,"Let me tell us about the new self-helped book "" How to Make a Career out of Courage "" by Judith's Wight's. The strength of this book is that it helps workers to consider what interest they find in their profession or could find in another one. The weakness of this book is that it's not very realistic in the context of crisis and difficulties to get a work. But finally, it will help some people to change a difficult work which is boring with another which will be more exciting ! It claims that the search for the perfect career is a lot easier that it seems !",French,B2,Writing an advertising blurb,95.0,fr,neutral essay,1,1,discuss,3,,,,,,
